"name","phone","e-mail","address"
"Єлисавета Опанасенко","347 41 80","feofanprokopovych@yukhymenko-kopytko.com","сквер Нова, буд. 57 кв. 802, Авдіївка, 99398"
"Марта Ніколюк","+38 071 902-60-26","mykhailobabii@kharchenko.ukr","набережна Семінарська, буд. 588 кв. 65, Василівка , 83433"
"Антон Кальченко","006 399 64 46","yfartushniak@i.ua","шосе Український 3-й, буд. 18 кв. 3, Пустомити, 23230"
"Хома Корж","050 306 96 42","trokhym39@havrylenko-hupalo.ua","узвіз Акордна, буд. 34 кв. 14, Єнакієве, 36415"
"Віолетта Карась","+38 069 496 66 46","azar23@duplii-atroshchenko.ukr","площа Героїв Крут, буд. 8, Новодністровськ, 85538"
"Одарка Носенко","+38 028 975 94 36","ieroshenkokhoma@email.ua","сквер Лугова, буд. 97, Біляївка, 25151"
"Нестор Гавриленко","912 06 69","serhii74@talan.info","сквер Костанді 2-й, буд. 03 кв. 0, Острог, 05637"
"Анжела Девдюк","039 12 75","leonid90@ukr.net","вулиця Грецький, буд. 41 кв. 990, Коломия, 93928"
"Яків Стус","063 479-87-66","demyd36@masokha.ukr","провулок Бабеля, буд. 4, Долинська, 48604"
"Левко Оробець","+38 032 231-05-94","demiandrobakha@gov.ua","проспект Горбатий міст, буд. 532, Новий Буг, 93412"
"Пилип Давиденко","+38 098 829 14 42","ibatiuk@bashpolchenko.net","шосе Рельєфна, буд. 48, Ходорів, 82473"
"Вʼячеслав Дейнека","013 404 44 84","wkolesnychenko@gov.ua","вулиця Онезька, буд. 255, Судак , 46567"
"Теодор Затула","+38 (052) 738-10-21","teodor42@gmail.com","вулиця Левітана, буд. 2, Вугледар, 54371"
"Ярема Франчук","068 567-80-64","violetta44@meta.ua","парк Азовський, буд. 536, Хмільник, 82880"
"Валерій Ляшко","142-43-33","nmalyk@meta.ua","проспект Кедровий, буд. 27, Олександрія, 84793"
"пан Гаврило Артимович","+38 (085) 698-86-53","aabrahamovskyi@charnysh.com","узвіз Миколи Бажана, буд. 2 кв. 0, Гребінка, 26212"
"Панас Гайда","032 398-69-77","klyment19@gov.ua","вулиця Шишкіна, буд. 71, Дубровиця, 26941"
"Кирило Гречко","+38 017 400-85-27","zaichenkoorysia@tychyna.com","провулок Пушкінська, буд. 857, Токмак, 79921"
"Гаврило Килимник","073 112 85 47","dashenkoamvrosii@gov.ua","набережна Морехідний, буд. 1, Теплодар, 85236"
"Мирослав Адамчук","009 501-18-85","mariiababych@i.ua","площа Подільська, буд. 2 кв. 49, Горішні Плавні, 12392"
"Валентин Гаврилець","+38 092 397-68-39","nadiia29@ukr.net","парк Володі Дубініна, буд. 4 кв. 63, Новий Калинів, 68278"
"Яків Носенко","462-49-67","vernydubiaroslava@gov.ua","проспект Рибальський, буд. 58 кв. 723, Олександрія, 53449"
"Феофан Бабиченко","030 048-90-54","eduard99@kabanenko.info","провулок Онезька, буд. 7 кв. 52, Бурштин , 99833"
"Наталія Запорожець","+38 046 404-85-98","ihnatprotsenko@gmail.com","проспект Савицький, буд. 2, Христинівка, 45836"
"пан Макар Єсипенко","+38 005 631 04 12","onyshchenkovitalii@deineka.net","провулок Міцкевича, буд. 6 кв. 601, Старобільськ, 56412"
"Розалія Артюшенко","546 56 11","okanivets@meta.ua","узвіз Котляревського, буд. 4 кв. 3, Дружба , 53326"
"Ілля Перепелиця","+38 (077) 784-29-35","terezahavrylenko@gov.ua","набережна Мацієвської, буд. 7 кв. 9, Мала Виска, 29077"
"пан Пармен Барабаш","745 80 96","trokhymbaranyk@ukr.net","площа 411-ї батареї, буд. 2 кв. 67, Міусинськ, 84256"
